sa2_code,sa2_name,centroid_lat,centroid_lon
117011324,Port Botany Industrial,-33.97213642812504,151.22250368739904
117011325,Sydney Airport,-33.944328810712996,151.17860403402466
117011634,Eastlakes,-33.930815134088384,151.21052142410656
117011635,Mascot,-33.927972358280044,151.19183990494847
117021327,Petersham - Stanmore,-33.89472780991195,151.16196237918052
117021328,Sydenham - Tempe - St Peters,-33.92034748215385,151.16938610909344
117021636,Marrickville - North,-33.90625909582566,151.1616628747694
117021637,Marrickville - South,-33.915970097450234,151.1497949245606
117031329,Darlinghurst,-33.877909585854646,151.21943976518108
117031330,Erskineville - Alexandria,-33.90848546628523,151.19146383728904
117031331,Glebe - Forest Lodge,-33.87920366458832,151.184771874235
117031333,Potts Point - Woolloomooloo,-33.870101142257866,151.22408957488864
117031336,Surry Hills,-33.88561944579322,151.21197535557735
117031638,Camperdown - Darlington,-33.889300397566714,151.18475410680327
117031639,Chippendale,-33.886376111875045,151.19964774562717
117031640,Newtown (NSW),-33.898701831474284,151.17951629758267
117031641,Pyrmont,-33.86901906042223,151.19351901367125
117031642,Redfern,-33.8938715510335,151.20217164504953
117031643,Rosebery - Beaconsfield,-33.91659017362481,151.20534501072476
117031644,Sydney (North) - Millers Point,-33.864746324477395,151.2092131571829
117031645,Sydney (South) - Haymarket,-33.878008147205506,151.2042472270663
117031646,Ultimo,-33.8802522273317,151.19795254069885
117031647,Waterloo,-33.8998759206597,151.20721766381
117031648,Zetland,-33.90747481501323,151.20857517019255
118011339,Bondi - Tamarama - Bronte,-33.899973427619656,151.26498349237332
118011340,Bondi Beach - North Bondi,-33.88710427138557,151.27540152302572
118011341,Bondi Junction - Waverly,-33.897181775973266,151.25078932302637
118011342,Centennial Park,-33.89836109844372,151.23425590723141
118011344,Dover Heights,-33.87105286026699,151.2797474721885
118011345,Paddington - Moore Park,-33.89024498865704,151.22498374419897
118011346,Rose Bay - Vaucluse - Watsons Bay,-33.85997338134971,151.27413911730537
118011347,Woollahra,-33.886794320007176,151.24366988701564
118011649,Bellevue Hill,-33.8785561793654,151.25477655855642
118011650,Double Bay - Darling Point,-33.875703876067874,151.23902195949086
118021564,Kensington (NSW),-33.913375071735686,151.2207511723052
118021565,Kingsford,-33.92515536565181,151.22896118966162
118021566,Maroubra - North,-33.939223347278904,151.25041221425698
