sa2_code,dist_nearest_competitor_km,competitors_within_5km,competitors_within_10km
107021135,17.748272876582686,0,0
107031136,7.122103505396123,0,1
107031137,0.7628792551932538,1,1
107031138,13.30655898087576,0,0
107031139,9.249451210135087,0,1
107031140,13.937974638882284,0,0
107031141,4.952366943229366,1,1
107031142,2.7971147879615166,1,1
107031143,5.518748572457884,0,1
107041144,5.620675001022165,0,1
107041145,7.978409122851787,0,1
107041146,3.97017634728399,1,1
107041147,18.368832041210517,0,0
107041148,17.629682826892953,0,0
107041150,11.38776223769341,0,0
107041548,2.048167341181845,1,1
107041549,1.7237479883411644,1,1
108011151,33.82423440551417,0,0
108011152,35.58767980716219,0,0
108011153,38.881912709762034,0,0
108011154,28.40973511539908,0,0
108021155,41.40126766634823,0,0
108021156,40.679555010449974,0,0
108021157,3.5885523623517597,1,1
108021158,8.901153460601686,0,1
108021159,15.57083774638045,0,0
108021160,26.37616707921601,0,0
108031161,583.4031911108997,0,0
108041162,10.135327473826313,0,0
108041164,2.6169132977416525,2,2
108041165,26.673655840672875,0,0
108041166,3.5723484405386916,1,1
108041619,3.9023985936343935,2,2
108041620,3.4169667848485563,2,2
108051167,63.948134192268874,0,0
108051168,10.188505515191501,0,0
108051169,0.5399659218603982,1,1
108051170,24.94060129318159,0,0
108051171,12.049424035388162,0,0
109011172,6.927670843912162,0,1
109011173,4.972290297601327,1,3
109011174,6.579244815299292,0,3
109011175,12.18342391197783,0,0
109011176,4.778843689268402,1,1
109021177,41.74351504181137,0,0
109021178,14.521146316970285,0,0
109021179,83.3009766171372,0,0
109031180,11.839659623382213,0,0
109031181,48.98757095214666,0,0
109031182,0.6075458644288813,1,1
109031183,40.594690704319156,0,0
109031184,9.40854839735794,0,1
109031185,52.48762549939397,0,0
110011186,2.578994584069838,1,1
110011187,28.08496386887396,0,0
110011188,25.0439207560988,0,0
110011189,68.04073652006313,0,0
110021190,18.986701912610247,0,0
110021191,57.47602758336825,0,0
110021192,53.23391285282521,0,0
110021193,22.725387307391806,0,0
110021194,14.05280658791572,0,0
110031195,1.8395254132568626,1,1
110031196,29.575944577085377,0,0
110031197,3.7735181685692543,1,1
110031198,14.601116621321763,0,0
110041199,2.887401808140595,1,1
110041200,7.528742263949901,0,1
110041201,23.48951092117171,0,0
110041202,7.430542905117437,0,1
110041203,6.077818995800218,0,2
110041204,4.21080325186775,1,1
110041205,25.898338568015863,0,0
111011206,6.423054143627885,0,5
111011207,3.8431973461009954,1,2
111011208,5.547851206752879,0,5
111011209,1.8058098967118403,3,6
111011210,3.3737401456588647,2,6
111011211,7.3421839359289045,0,4
111011212,8.553301571009252,0,1
111011213,4.277797906406741,3,5
111011214,0.8669963537630148,3,5
111021215,4.545379935217836,3,4
111021216,8.725218380815868,0,1
111021217,3.514424225294261,1,4
111021218,0.6791686929901442,1,1
111021219,3.3316511449268047,1,1
111021220,4.801597633675843,1,1
111021221,7.904378320150197,0,4
111031222,2.7445450500951294,1,6
111031223,7.676209382028605,0,1
111031224,1.1452926211296124,2,6
111031225,2.2368798195057886,2,6
111031226,6.642841828388359,0,2
111031227,2.147314279903081,2,4
111031228,2.9484737828864116,2,6
111031229,1.7874211664744766,2,3
111031230,3.486193768140891,1,3
111031231,1.3444825998874035,1,4
111031232,8.053162798289085,0,1
111031233,3.7558145929762135,1,5
111031234,2.4348773982482816,2,6
111031235,2.4455585655863925,2,3
112011236,2.662623516681793,1,1
112011237,7.825867307217197,0,1
112011238,13.709447754283172,0,0
112011239,4.402386333236106,1,1
112011240,17.61843892477959,0,0
112011241,11.576134808639251,0,0
112011242,9.818501746136299,0,1
112011243,5.43206060597884,0,1
112021244,2.112247156300846,1,1
112021245,21.084646741288424,0,0
112021246,5.201417160635937,0,1
112021247,16.693584115867687,0,0
112021248,1.888659980037249,1,1
112021249,9.5158455378593,0,1
112031250,17.011780894981815,0,0
112031251,0.5675191415621568,1,1
112031252,11.305908839240292,0,0
112031253,13.310988970410918,0,0
112031254,13.291612200177891,0,0
112031550,17.18322136191787,0,0
112031551,12.253042115721458,0,0
112031552,15.402681952370024,0,0
113011256,1.988854778930326,1,1
113011257,56.11673417147806,0,0
113011258,1.658200450881734,1,1
113011259,3.98405495513584,1,1
113021260,29.42827982167633,0,0
113021261,1.6872944719938903,1,1
113021262,20.728140903335728,0,0
113031263,4.6320011915507395,1,1
113031264,5.781534199938055,0,1
113031265,10.757646762021611,0,0
113031266,15.112377876325507,0,0
113031267,4.090803903363048,1,2
113031268,4.881771408340172,1,2
113031269,4.800215074604887,1,2
113031270,3.5344578776043916,1,2
113031271,18.244473270397645,0,0
114011272,10.436824347606247,0,0
114011273,7.1304601130862535,0,1
114011274,9.21649661894986,0,2
114011275,30.44160555652013,0,0
114011276,2.9640144784545157,1,1
114011277,3.1242741662967535,1,4
114011278,1.4968118841188576,3,4
114011279,8.163555497582877,0,2
114011280,2.032783930769992,1,1
114011281,14.106048340018605,0,0
114011282,2.4280910346668727,2,2
114011283,10.194396381079311,0,0
114021284,4.590339784460681,2,3
114021285,11.026931598691297,0,0
