store_name,latitude,longitude,sa2_code,sa2_name,sa3_name,sa4_name,state
Maryborough,-25.5361768,152.6962789,319051524,Maryborough (Qld),Maryborough,Wide Bay,Queensland
Mermaid Waters,-28.0473762,153.408196,309011228,Mermaid Waters,Broadbeach - Burleigh,Gold Coast,Queensland
Morayfield,-27.113691,152.9501136,313021366,Caboolture - South,Caboolture,Moreton Bay - North,Queensland
Mt Gravatt,-27.5307359,153.073577,303031063,Mount Gravatt,Mt Gravatt,Brisbane - South,Queensland
Logan Rd Mt Gravatt,-27.5307359,153.073577,303031063,Mount Gravatt,Mt Gravatt,Brisbane - South,Queensland
Mt Isa,-20.744,139.4909,315021405,Mount Isa,Outback - North,Queensland - Outback,Queensland
Nerang,-28.0070393,153.3396421,309061247,Highland Park,Nerang,Gold Coast,Queensland
Newstead,-27.4431289,153.0433852,305031128,Newstead - Bowen Hills,Brisbane Inner - North,Brisbane Inner City,Queensland
Noosaville,-26.4109387,153.0423493,316051435,Noosaville,Noosa,Sunshine Coast,Queensland
North Lakes,-27.2119988,152.9971094,314021579,North Lakes,North Lakes,Moreton Bay - South,Queensland
Oxenford,-27.8875626,153.3121497,309071256,Oxenford - Maudsland,Ormeau - Oxenford,Gold Coast,Queensland
Oxley,-27.5674083,152.9810881,310011275,Oxley (Qld),Forest Lake - Oxley,Ipswich,Queensland
Paget Mackay,-21.1684852,149.1563452,312021350,Ooralea - Bakers Creek,Mackay,Mackay - Isaac - Whitsunday,Queensland
Pimpama,-27.8220042,153.2942834,309071555,Pimpama - South,Ormeau - Oxenford,Gold Coast,Queensland
Plainland,-27.5628382,152.42608,310021280,Lockyer Valley - East,Ipswich Hinterland,Ipswich,Queensland
Robina,-28.085024,153.38968,309081559,Robina - East,Robina,Gold Coast,Queensland
Rockhampton,-23.32951,150.5199442,308031213,Norman Gardens,Rockhampton,Central Queensland,Queensland
Rocklea,-27.5552851,153.0116655,303051076,Rocklea - Acacia Ridge,Rocklea - Acacia Ridge,Brisbane - South,Queensland
Rothwell,-27.218615,153.0644358,313051380,Rothwell - Kippa-Ring,Redcliffe,Moreton Bay - North,Queensland
Smithfield,-16.8409112,145.6949002,306011142,Trinity Beach - Smithfield,Cairns - North,Cairns,Queensland
Southport,-27.9608,153.3801,309091540,Southport - North,Southport,Gold Coast,Queensland
Springfield Central,-27.6760293,152.8981482,310041304,Springfield Lakes,Springfield - Redbank,Ipswich,Queensland
Stafford,-27.4102568,153.009118,302021032,Stafford,Chermside,Brisbane - North,Queensland
Toowoomba North,-27.5523818,151.9536625,317011456,Toowoomba - Central,Toowoomba,Toowoomba,Queensland
Toowoomba West,-27.5868,151.9154,317011447,Drayton - Harristown,Toowoomba,Toowoomba,Queensland
Townsville,-19.2792816,146.7568836,318021475,Garbutt - West End,Townsville,Townsville,Queensland
Townsville North,-19.2272,146.7324,318021484,Mount Louisa,Townsville,Townsville,Queensland
Underwood,-27.6189444,153.1124502,311061335,Underwood,Springwood - Kingston,Logan - Beaudesert,Queensland
Victoria Point,-27.5852048,153.2834246,301021013,Victoria Point,Cleveland - Stradbroke,Brisbane - East,Queensland
Virginia,-27.3725785,153.0610143,302031038,Northgate - Virginia,Nundah,Brisbane - North,Queensland
Warwick,-28.2134598,152.0374372,307031189,Warwick,Granite Belt,Darling Downs - Maranoa,Queensland
West Ipswich,-27.6163263,152.7499261,310031286,Ipswich - Central,Ipswich Inner,Ipswich,Queensland
Yeppoon,-23.139249,150.7410522,308031223,Yeppoon,Rockhampton,Central Queensland,Queensland
