store_name,latitude,longitude
Lilydale,-37.7576047,145.3475508
Manor Lakes,-37.8722404,144.6107093
Maribyrnong,-37.7760475,144.8837459
Melton East,-37.6871,144.5828
Mentone,-37.9768027,145.0696103
Mernda,-37.6044904,145.0932464
Mildura,-34.2176471,142.1511405
Mill Park,-37.6544737,145.0803259
Moorabbin,-37.9455852,145.0797236
Mornington,-38.2195561,145.0593715
Morwell,-38.2367709,146.427375
Narre Warren,-38.0248869,145.3098332
Notting Hill,-37.9002496,145.1269707
Nunawading,-37.8196599,145.1668266
Oakleigh,-37.9220542,145.0851083
Pakenham,-38.0614592,145.4574309
Portland,-38.3259722,141.5982248
Port Melbourne,-37.8314656,144.93911
Preston,-37.7474321,145.0310068
Ringwood,-37.8154898,145.2229003
Rosebud,-38.3860085,144.8871931
Sale,-38.1058196,147.0632559
Scoresby,-37.8999,145.2285
Seymour,-37.0270292,145.1418796
Shepparton,-36.3880115,145.4217509
Springvale,-37.932314,145.1532676
Sunbury,-37.5904566,144.7161067
Sunshine,-37.7758522,144.8302214
Swan Hill,-35.3342847,143.5560109
Tarneit,-37.8334325,144.6981199
Taylors Lakes,-37.6957834,144.7798316
Thomastown,-37.693157,145.0229006
Torquay,-38.3082981,144.318312
Traralgon,-38.191556,146.5606911
Vermont South,-37.8602784,145.1968373
Wangaratta,-36.3659097,146.3011322
Warragul,-38.1667,145.9547689
Warrnambool,-38.3834379,142.5321131
Waurn Ponds,-38.2035404,144.3064271
West Footscray,-37.8028912,144.8831814
Wodonga,-36.1371567,146.9065051
Wonthaggi,-38.5956652,145.5930871
Yarrawonga,-36.0122205,146.0261529
Albany,-34.9893529,117.8775963
Armadale,-32.1260053,115.86827
Australind,-33.2807916,115.7447732
Balcatta,-31.8602455,115.8128589
Baldivis,-32.3310747,115.8191088
Bayswater,-31.9031909,115.921666
Belmont,-31.9570405,115.9313871
Bibra Lake,-32.1026854,115.7998612
Broome,-17.9640237,122.2228775
Bunbury,-33.3336883,115.6459841
Busselton,-33.6669,115.3505
Cannington,-32.0224188,115.9410498
Claremont,-31.9824441,115.7824093
Cockburn Central,-32.1246,115.8673
East Victoria Park,-31.9922278,115.911263
Ellenbrook,-31.7770037,115.9625155
Esperance,-33.8385856,121.90077
Geraldton,-28.7602309,114.6234825
Halls Head,-32.5478916,115.7041898
Harrisdale,-32.1069179,115.9363609
Homebase Subiaco,-31.9427,115.8217
Innaloo,-31.9008711,115.7968002
Joondalup,-31.7592436,115.7721136
Kalamunda,-31.9711329,116.0577317
Kalgoorlie,-30.7521573,121.4812773
Maddington,-32.0464503,115.97708
Mandurah,-32.5478916,115.7041898
Margaret River,-33.9614304,115.0719892
Melville,-32.0401,115.8239
Midland,-31.8990984,116.0128145
Mindarie,-31.6928,115.7169
Mirrabooka,-31.8625805,115.8769573
Northam,-31.6601,116.6698
O'Connor,-32.0633261,115.7970796
Osborne Park,-31.9015,115.8146
Rockingham,-32.2683135,115.7532698
Wangara,-31.8034,115.8366
Willetton,-32.0394123,115.8794126
